Brand,Model,Processor,RAM,Storage,GraphicsCard,ScreenSize,Price
"Acer,Nitro 5 V4.3,Intel Core i5-11400H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",574.12"
"Acer,Nitro 5 V23.9,Intel Core i5-11400H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",661.72"
"HP,Victus 15 V40.8,AMD Ryzen 5 5600H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",806.31"
"MSI,Katana GF66 V13.7,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",603.97"
"Lenovo,Legion 5 V35.0,AMD Ryzen 7 5800H,32 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1398.0"
"HP,Victus 15 V5.3,AMD Ryzen 5 5600H,32 GB,2 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1356.12"
"Acer,Nitro 5 V29.0,Intel Core i5-11400H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",916.69"
"ASUS,ROG Strix G15 V5.7,AMD Ryzen 7 6800H,16 GB,1 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",903.31"
"ASUS,ROG Strix G15 V23.3,AMD Ryzen 7 6800H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1140.81"
"Acer,Nitro 5 V32.5,Intel Core i5-11400H,16 GB,512 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",582.97"
"Lenovo,Legion 5 V28.0,AMD Ryzen 7 5800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1363.06"
"HP,Victus 15 V26.2,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",871.62"
"Lenovo,Legion 5 V17.4,AMD Ryzen 7 5800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1196.84"
"HP,Victus 15 V35.5,AMD Ryzen 5 5600H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1086.38"
"Lenovo,Legion 5 V32.9,AMD Ryzen 7 5800H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1143.91"
"MSI,Katana GF66 V37.9,Intel Core i7-11800H,32 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",912.59"
"Lenovo,Legion 5 V8.6,AMD Ryzen 7 5800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1014.5"
"Lenovo,Legion 5 V50.8,AMD Ryzen 7 5800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1016.91"
"MSI,Katana GF66 V11.6,Intel Core i7-11800H,64 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",827.56"
"Lenovo,Legion 5 V36.7,AMD Ryzen 7 5800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",887.97"
"HP,Victus 15 V48.7,AMD Ryzen 5 5600H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1147.84"
"Acer,Nitro 5 V42.2,Intel Core i5-11400H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",903.78"
"ASUS,ROG Strix G15 V14.0,AMD Ryzen 7 6800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",732.47"
"HP,Victus 15 V30.2,AMD Ryzen 5 5600H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",681.38"
"Acer,Nitro 5 V36.6,Intel Core i5-11400H,32 GB,512 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",832.38"
"ASUS,ROG Strix G15 V39.9,AMD Ryzen 7 6800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1332.19"
"HP,Victus 15 V18.0,AMD Ryzen 5 5600H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1119.75"
"Acer,Nitro 5 V16.9,Intel Core i5-11400H,16 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",912.72"
"MSI,Katana GF66 V31.0,Intel Core i7-11800H,64 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1273.88"
"Acer,Nitro 5 V30.4,Intel Core i5-11400H,32 GB,512 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",840.59"
"Acer,Nitro 5 V8.7,Intel Core i5-11400H,8 GB,512 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1368.34"
"ASUS,ROG Strix G15 V42.0,AMD Ryzen 7 6800H,8 GB,256 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1316.12"
"ASUS,ROG Strix G15 V48.6,AMD Ryzen 7 6800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",962.47"
"HP,Victus 15 V17.1,AMD Ryzen 5 5600H,8 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",802.38"
"ASUS,ROG Strix G15 V23.3,AMD Ryzen 7 6800H,32 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1039.78"
"ASUS,ROG Strix G15 V36.3,AMD Ryzen 7 6800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",990.72"
"Lenovo,Legion 5 V22.3,AMD Ryzen 7 5800H,16 GB,256 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",721.28"
"Lenovo,Legion 5 V45.9,AMD Ryzen 7 5800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",722.56"
"MSI,Katana GF66 V30.4,Intel Core i7-11800H,32 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",628.0"
"Lenovo,Legion 5 V9.0,AMD Ryzen 7 5800H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1124.75"
"MSI,Katana GF66 V17.7,Intel Core i7-11800H,16 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1312.47"
"Lenovo,Legion 5 V40.3,AMD Ryzen 7 5800H,32 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",787.09"
"MSI,Katana GF66 V19.9,Intel Core i7-11800H,64 GB,1 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1010.62"
"Acer,Nitro 5 V50.3,Intel Core i5-11400H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1000.88"
"Acer,Nitro 5 V14.4,Intel Core i5-11400H,64 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1172.41"
"Acer,Nitro 5 V40.2,Intel Core i5-11400H,16 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1256.38"
"Acer,Nitro 5 V38.4,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",706.78"
"HP,Victus 15 V26.3,AMD Ryzen 5 5600H,16 GB,2 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1354.94"
"HP,Victus 15 V41.5,AMD Ryzen 5 5600H,64 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",748.31"
"MSI,Katana GF66 V45.6,Intel Core i7-11800H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1133.81"
"ASUS,ROG Strix G15 V49.1,AMD Ryzen 7 6800H,32 GB,512 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",1337.75"
"ASUS,ROG Strix G15 V40.5,AMD Ryzen 7 6800H,32 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",771.81"
"Acer,Nitro 5 V37.4,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",962.31"
"Acer,Nitro 5 V28.5,Intel Core i5-11400H,32 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1382.16"
"Lenovo,Legion 5 V43.6,AMD Ryzen 7 5800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1057.78"
"HP,Victus 15 V31.2,AMD Ryzen 5 5600H,16 GB,1 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",797.16"
"Lenovo,Legion 5 V46.5,AMD Ryzen 7 5800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1131.34"
"ASUS,ROG Strix G15 V39.8,AMD Ryzen 7 6800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1294.78"
"HP,Victus 15 V14.6,AMD Ryzen 5 5600H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1259.06"
"Lenovo,Legion 5 V42.6,AMD Ryzen 7 5800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1193.91"
"HP,Victus 15 V1.1,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",626.81"
"Lenovo,Legion 5 V35.3,AMD Ryzen 7 5800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1222.44"
"ASUS,ROG Strix G15 V9.0,AMD Ryzen 7 6800H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",786.84"
"Lenovo,Legion 5 V49.6,AMD Ryzen 7 5800H,32 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1319.19"
"HP,Victus 15 V40.3,AMD Ryzen 5 5600H,64 GB,1 TB SSD,AMD Radeon RX 6600M,""16"""" QHD"",821.12"
"Acer,Nitro 5 V2.0,Intel Core i5-11400H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1212.22"
"ASUS,ROG Strix G15 V3.4,AMD Ryzen 7 6800H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1396.16"
"ASUS,ROG Strix G15 V17.7,AMD Ryzen 7 6800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1400.69"
"ASUS,ROG Strix G15 V15.4,AMD Ryzen 7 6800H,8 GB,512 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",887.53"
"HP,Victus 15 V6.5,AMD Ryzen 5 5600H,16 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1332.09"
"ASUS,ROG Strix G15 V50.2,AMD Ryzen 7 6800H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",651.41"
"Lenovo,Legion 5 V7.2,AMD Ryzen 7 5800H,16 GB,1 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1216.72"
"Acer,Nitro 5 V22.1,Intel Core i5-11400H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",1213.84"
"Acer,Nitro 5 V40.9,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1074.5"
"MSI,Katana GF66 V29.4,Intel Core i7-11800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",1293.22"
"Lenovo,Legion 5 V19.7,AMD Ryzen 7 5800H,16 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1060.22"
"HP,Victus 15 V6.4,AMD Ryzen 5 5600H,8 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1169.12"
"Acer,Nitro 5 V48.2,Intel Core i5-11400H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1300.94"
"HP,Victus 15 V27.6,AMD Ryzen 5 5600H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",698.62"
"Lenovo,Legion 5 V46.5,AMD Ryzen 7 5800H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1080.47"
"Lenovo,Legion 5 V18.9,AMD Ryzen 7 5800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",919.97"
"MSI,Katana GF66 V33.5,Intel Core i7-11800H,64 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1358.72"
"Lenovo,Legion 5 V18.5,AMD Ryzen 7 5800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1072.88"
"MSI,Katana GF66 V10.5,Intel Core i7-11800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",804.81"
"Lenovo,Legion 5 V9.5,AMD Ryzen 7 5800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",853.19"
"MSI,Katana GF66 V48.1,Intel Core i7-11800H,64 GB,2 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1302.75"
"Lenovo,Legion 5 V16.8,AMD Ryzen 7 5800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1239.56"
"MSI,Katana GF66 V12.1,Intel Core i7-11800H,8 GB,2 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",673.38"
"ASUS,ROG Strix G15 V48.7,AMD Ryzen 7 6800H,64 GB,2 TB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",689.5"
"MSI,Katana GF66 V42.9,Intel Core i7-11800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",840.0"
"MSI,Katana GF66 V48.4,Intel Core i7-11800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",717.09"
"Lenovo,Legion 5 V26.1,AMD Ryzen 7 5800H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",843.19"
"ASUS,ROG Strix G15 V45.7,AMD Ryzen 7 6800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1101.56"
"Acer,Nitro 5 V17.4,Intel Core i5-11400H,8 GB,1 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",770.59"
"Acer,Nitro 5 V9.4,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",609.75"
"Acer,Nitro 5 V32.5,Intel Core i5-11400H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",702.38"
"ASUS,ROG Strix G15 V8.9,AMD Ryzen 7 6800H,64 GB,256 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1287.16"
"HP,Victus 15 V16.5,AMD Ryzen 5 5600H,32 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1033.12"
"ASUS,ROG Strix G15 V38.3,AMD Ryzen 7 6800H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1126.59"
"Lenovo,Legion 5 V13.5,AMD Ryzen 7 5800H,64 GB,512 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1212.59"
"Lenovo,Legion 5 V41.5,AMD Ryzen 7 5800H,16 GB,1 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1249.06"
"MSI,Katana GF66 V40.5,Intel Core i7-11800H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1234.12"
"MSI,Katana GF66 V27.1,Intel Core i7-11800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1352.16"
"Lenovo,Legion 5 V21.3,AMD Ryzen 7 5800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1231.0"
"ASUS,ROG Strix G15 V48.1,AMD Ryzen 7 6800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1124.75"
"Lenovo,Legion 5 V18.0,AMD Ryzen 7 5800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",867.28"
"HP,Victus 15 V29.7,AMD Ryzen 5 5600H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",869.84"
"ASUS,ROG Strix G15 V27.3,AMD Ryzen 7 6800H,64 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",656.41"
"ASUS,ROG Strix G15 V30.9,AMD Ryzen 7 6800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",651.97"
"Acer,Nitro 5 V9.3,Intel Core i5-11400H,64 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",724.56"
"MSI,Katana GF66 V22.0,Intel Core i7-11800H,64 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1199.59"
"MSI,Katana GF66 V28.7,Intel Core i7-11800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1110.0"
"ASUS,ROG Strix G15 V32.0,AMD Ryzen 7 6800H,32 GB,512 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",926.69"
"ASUS,ROG Strix G15 V46.1,AMD Ryzen 7 6800H,32 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",891.41"
"Acer,Nitro 5 V13.7,Intel Core i5-11400H,16 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",977.75"
"Acer,Nitro 5 V6.3,Intel Core i5-11400H,64 GB,512 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",796.0"
"MSI,Katana GF66 V49.1,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1081.56"
"Lenovo,Legion 5 V28.2,AMD Ryzen 7 5800H,8 GB,2 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1098.47"
"Acer,Nitro 5 V1.6,Intel Core i5-11400H,16 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1249.72"
"Acer,Nitro 5 V4.5,Intel Core i5-11400H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",904.53"
"ASUS,ROG Strix G15 V34.4,AMD Ryzen 7 6800H,16 GB,256 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",759.59"
"Lenovo,Legion 5 V50.5,AMD Ryzen 7 5800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1347.12"
"Lenovo,Legion 5 V42.1,AMD Ryzen 7 5800H,32 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",706.44"
"Lenovo,Legion 5 V23.5,AMD Ryzen 7 5800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",646.09"
"HP,Victus 15 V23.7,AMD Ryzen 5 5600H,64 GB,512 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1240.12"
"Lenovo,Legion 5 V45.8,AMD Ryzen 7 5800H,32 GB,2 TB SSD,AMD Radeon RX 6600M,""16"""" QHD"",814.16"
"Lenovo,Legion 5 V26.2,AMD Ryzen 7 5800H,32 GB,1 TB SSD,AMD Radeon RX 6600M,""16"""" QHD"",996.78"
"Acer,Nitro 5 V13.2,Intel Core i5-11400H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1379.44"
"HP,Victus 15 V32.4,AMD Ryzen 5 5600H,8 GB,512 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",584.06"
"MSI,Katana GF66 V25.3,Intel Core i7-11800H,8 GB,2 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1383.09"
"Lenovo,Legion 5 V49.1,AMD Ryzen 7 5800H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1048.09"
"Acer,Nitro 5 V14.0,Intel Core i5-11400H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",694.03"
"HP,Victus 15 V35.0,AMD Ryzen 5 5600H,64 GB,1 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",925.34"
"ASUS,ROG Strix G15 V6.7,AMD Ryzen 7 6800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",828.75"
"Acer,Nitro 5 V16.5,Intel Core i5-11400H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1020.19"
"MSI,Katana GF66 V37.0,Intel Core i7-11800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1124.53"
"ASUS,ROG Strix G15 V8.2,AMD Ryzen 7 6800H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",682.53"
"Lenovo,Legion 5 V27.1,AMD Ryzen 7 5800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",751.12"
"HP,Victus 15 V25.9,AMD Ryzen 5 5600H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1268.53"
"MSI,Katana GF66 V13.7,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",759.69"
"HP,Victus 15 V47.5,AMD Ryzen 5 5600H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",879.12"
"Acer,Nitro 5 V41.2,Intel Core i5-11400H,64 GB,512 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",953.47"
"HP,Victus 15 V41.2,AMD Ryzen 5 5600H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1262.59"
"Lenovo,Legion 5 V10.2,AMD Ryzen 7 5800H,64 GB,2 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",584.16"
"HP,Victus 15 V6.6,AMD Ryzen 5 5600H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1242.75"
"Lenovo,Legion 5 V27.7,AMD Ryzen 7 5800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1030.88"
"HP,Victus 15 V36.5,AMD Ryzen 5 5600H,32 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",730.53"
"MSI,Katana GF66 V9.0,Intel Core i7-11800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",827.94"
"Acer,Nitro 5 V34.4,Intel Core i5-11400H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",936.34"
"HP,Victus 15 V14.2,AMD Ryzen 5 5600H,64 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",698.12"
"Lenovo,Legion 5 V33.9,AMD Ryzen 7 5800H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1405.09"
"HP,Victus 15 V45.7,AMD Ryzen 5 5600H,64 GB,512 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1386.47"
"ASUS,ROG Strix G15 V13.8,AMD Ryzen 7 6800H,8 GB,256 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",743.97"
"ASUS,ROG Strix G15 V27.0,AMD Ryzen 7 6800H,64 GB,256 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",694.72"
"ASUS,ROG Strix G15 V30.3,AMD Ryzen 7 6800H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",840.41"
"Lenovo,Legion 5 V10.4,AMD Ryzen 7 5800H,16 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",669.75"
"HP,Victus 15 V16.5,AMD Ryzen 5 5600H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1293.97"
"MSI,Katana GF66 V34.9,Intel Core i7-11800H,16 GB,1 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1232.16"
"Lenovo,Legion 5 V19.5,AMD Ryzen 7 5800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",802.78"
"Acer,Nitro 5 V6.7,Intel Core i5-11400H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",580.88"
"ASUS,ROG Strix G15 V26.9,AMD Ryzen 7 6800H,16 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1150.84"
"ASUS,ROG Strix G15 V30.6,AMD Ryzen 7 6800H,8 GB,1 TB SSD,AMD Radeon RX 6600M,""16"""" QHD"",700.88"
"MSI,Katana GF66 V25.3,Intel Core i7-11800H,32 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",907.25"
"MSI,Katana GF66 V32.6,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",735.91"
"HP,Victus 15 V2.7,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",600.03"
"ASUS,ROG Strix G15 V23.1,AMD Ryzen 7 6800H,16 GB,2 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",843.44"
"ASUS,ROG Strix G15 V30.3,AMD Ryzen 7 6800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1406.03"
"ASUS,ROG Strix G15 V43.4,AMD Ryzen 7 6800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",623.28"
"Acer,Nitro 5 V19.5,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1187.66"
"MSI,Katana GF66 V27.7,Intel Core i7-11800H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1341.0"
"HP,Victus 15 V35.2,AMD Ryzen 5 5600H,32 GB,1 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",868.16"
"Acer,Nitro 5 V9.7,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1151.09"
"HP,Victus 15 V36.3,AMD Ryzen 5 5600H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",580.06"
"MSI,Katana GF66 V25.3,Intel Core i7-11800H,8 GB,1 TB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",898.56"
"Acer,Nitro 5 V43.2,Intel Core i5-11400H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",673.12"
"ASUS,ROG Strix G15 V48.5,AMD Ryzen 7 6800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",839.88"
"Acer,Nitro 5 V21.0,Intel Core i5-11400H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",679.12"
"Lenovo,Legion 5 V21.3,AMD Ryzen 7 5800H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1018.22"
"MSI,Katana GF66 V1.4,Intel Core i7-11800H,32 GB,2 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1079.5"
"Lenovo,Legion 5 V12.6,AMD Ryzen 7 5800H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1145.69"
"Acer,Nitro 5 V6.3,Intel Core i5-11400H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1220.22"
